days away,car class,Alamo,Avis,Budget,Enterprise
90,Economy Car,323,452,427,353
90,Compact Car,319,413,387,363
90,Intermediate Car,328.93,426,402,353
90,Standard Car,372,462,436,382
90,Fullsize Car,449,462,436,453
90,Premium Car,392,1078,473,NA
90,Intermediate SUV,312,673,596,326
90,Standard SUV,483,1319,711,533
90,Fullsize Crossover,740,NA,NA,798
90,Premium Crossover,NA,NA,NA,737
90,Mini Van,483,1794,559,533
90,Standard Van,740,NA,NA,NA
90,Fullsize SUV,758,1639,808,737
90,Standard Convertible,512,1185,527,511
90,Standard Specialty,432,NA,NA,437
90,Luxury Car,NA,1154,1098,NA
90,Premium SUV,1000,2041,1068,961
90,Luxury SUV,1257,NA,NA,1197
90,Fullsize Van,1097,1217,1118,1050
