days away,car class,Alamo,Avis,Budget,Enterprise
61,Economy Car,384,476,432,392
61,Compact Car,384,436,392,392
61,Intermediate Car,370.89,434,394,371
61,Standard Car,392,461,420,428
61,Fullsize Car,392,459,420,425
61,Premium Car,503,533,508,495
61,Intermediate SUV,496,717,501,493
61,Standard SUV,471,754,550,472
61,Fullsize Crossover,721,NA,NA,703
61,Premium Crossover,NA,NA,NA,738
61,Mini Van,NA,592,513,NA
61,Fullsize SUV,759,928,861,738
61,Intermediate Convertible,670,NA,NA,NA
61,Standard Convertible,670,746,711,657
61,Standard Specialty,451,NA,NA,490
61,Luxury Car,NA,715,681,NA
61,Premium SUV,1002,1462,1122,962
61,Luxury SUV,1259,NA,NA,1199
61,Fullsize Van,873,910,866,917
