days away,car class,Alamo,Avis,Budget,Enterprise
78,Economy Car,269,426,402,291
78,Compact Car,300,387,363,328
78,Intermediate Car,324.89,398,369,338
78,Standard Car,357,400,375,367
78,Fullsize Car,395,400,375,370
78,Premium Car,506,536,510,479
78,Intermediate SUV,300,673,501,315
78,Standard SUV,468,710,514,472
78,Fullsize Crossover,718,NA,NA,703
78,Premium Crossover,NA,NA,NA,738
78,Mini Van,497,592,502,484
78,Standard Van,746,NA,NA,NA
78,Fullsize SUV,747,1078,861,738
78,Standard Convertible,649,746,533,637
78,Standard Specialty,414,NA,NA,420
78,Luxury Car,NA,770,733,NA
78,Premium SUV,923,1418,1071,945
78,Luxury SUV,1161,NA,NA,1179
78,Fullsize Van,1011,1105,1052,1050
