days away,car class,Alamo,Avis,Budget,Enterprise
48,Economy Car,425,461,435,430
48,Compact Car,451,429Includes Cash Card,410,430
48,Intermediate Car,370.89,428Includes Cash Card,404,371
48,Standard Car,392,431Includes Cash Card,407,403
48,Fullsize Car,392,431Includes Cash Card,407,403
48,Premium Car,511,536Includes Cash Card,515,495
48,Intermediate SUV,451,729Includes Cash Card,465,454
48,Standard SUV,471,766Includes Cash Card,618,472
48,Fullsize Crossover,721,NA,NA,703
48,Premium Crossover,NA,NA,NA,769
48,Mini Van,NA,631Includes Cash Card,601,NA
48,Fullsize SUV,823,967Includes Cash Card,829,769
48,Intermediate Convertible,695,NA,NA,NA
48,Standard Convertible,695,753Includes Cash Card,717,680
48,Standard Specialty,451,NA,NA,463
48,Luxury Car,NA,1069Includes Cash Card,930,NA
48,Premium SUV,1072,1469Includes Cash Card,1078,1003
48,Luxury SUV,1340,NA,NA,1250
48,Fullsize Van,NA,874Includes Cash Card,832,NA
