days away,car class,Alamo,Avis,Budget,Enterprise
50,Economy Car,425,461,435,430
50,Compact Car,451,429Includes Cash Card,410,430
50,Intermediate Car,370.89,428Includes Cash Card,404,371
50,Standard Car,392,431Includes Cash Card,407,403
50,Fullsize Car,392,431Includes Cash Card,407,403
50,Premium Car,511,538Includes Cash Card,515,495
50,Intermediate SUV,451,729Includes Cash Card,465,454
50,Standard SUV,513,766Includes Cash Card,618,593
50,Fullsize Crossover,786,NA,NA,882
50,Premium Crossover,NA,NA,NA,769
50,Mini Van,NA,631Includes Cash Card,601,NA
50,Fullsize SUV,825,968Includes Cash Card,829,769
50,Intermediate Convertible,698,NA,NA,NA
50,Standard Convertible,698,753Includes Cash Card,717,683
50,Standard Specialty,451,NA,NA,463
50,Luxury Car,NA,776Includes Cash Card,740,NA
50,Premium SUV,1038,1469Includes Cash Card,1078,1003
50,Luxury SUV,1306,NA,NA,1250
50,Fullsize Van,NA,874Includes Cash Card,832,NA
