days away,car class,Alamo,Avis,Budget,Enterprise
105,Economy Car,283,462,501,299
105,Compact Car,283,423,468,299
105,Intermediate Car,282.96,434,410,299
105,Standard Car,312,472,446,326
105,Fullsize Car,312,472,446,326
105,Premium Car,271,1084,490,264
105,Intermediate SUV,265,727,523,283
105,Standard SUV,449,1179,578,453
105,Fullsize Crossover,687,NA,NA,672
105,Premium Crossover,NA,NA,NA,647
105,Mini Van,470,1603,490,472
105,Standard Van,719,NA,NA,NA
105,Fullsize SUV,659,1298,685,647
105,Standard Convertible,418,1120,436,424
105,Standard Specialty,362,NA,NA,372
105,Luxury Car,NA,1120,1066,NA
105,Premium SUV,869,1611,891,840
105,Luxury SUV,1092,NA,NA,1046
105,Fullsize Van,1097,1223,1124,1050
