days away,car class,Alamo,Avis,Budget,Enterprise
51,Economy Car,449,474,447,430
51,Compact Car,451,442Includes Cash Card,422,430
51,Intermediate Car,370.89,440Includes Cash Card,415,371
51,Standard Car,392,443Includes Cash Card,418,415
51,Fullsize Car,392,443Includes Cash Card,418,415
51,Premium Car,503,538Includes Cash Card,515,495
51,Intermediate SUV,449,728Includes Cash Card,463,453
51,Standard SUV,513,765Includes Cash Card,617,592
51,Fullsize Crossover,786,NA,NA,880
51,Premium Crossover,NA,NA,NA,769
51,Mini Van,NA,631Includes Cash Card,601,NA
51,Fullsize SUV,817,968Includes Cash Card,827,769
51,Intermediate Convertible,697,NA,NA,NA
51,Standard Convertible,697,753Includes Cash Card,716,682
51,Standard Specialty,451,NA,NA,477
51,Luxury Car,NA,775Includes Cash Card,738,NA
51,Premium SUV,1066,1469Includes Cash Card,1076,1003
51,Luxury SUV,1333,NA,NA,1250
51,Fullsize Van,NA,874Includes Cash Card,832,NA
