days away,car class,Alamo,Avis,Budget,Enterprise
46,Economy Car,425,449,424,430
46,Compact Car,425,416Includes Cash Card,397,430
46,Intermediate Car,427,417Includes Cash Card,393.20,432
46,Standard Car,464,420Includes Cash Card,396,466
46,Fullsize Car,450,420Includes Cash Card,396,453
46,Premium Car,494,536Includes Cash Card,515,495
46,Intermediate SUV,451,729Includes Cash Card,465,454
46,Standard SUV,471,766Includes Cash Card,618,472
46,Fullsize Crossover,721,NA,NA,703
46,Premium Crossover,NA,NA,NA,769
46,Mini Van,NA,631Includes Cash Card,601,NA
46,Fullsize SUV,825,1084Includes Cash Card,829,769
46,Intermediate Convertible,695,NA,NA,NA
46,Standard Convertible,695,753Includes Cash Card,717,680
46,Standard Specialty,537,NA,NA,534
46,Luxury Car,NA,1283Includes Cash Card,1115,NA
46,Premium SUV,1038,1425Includes Cash Card,1078,1003
46,Luxury SUV,1306,NA,NA,1250
46,Fullsize Van,NA,874Includes Cash Card,832,NA
