days away,car class,Alamo,Avis,Budget,Enterprise
60,Economy Car,454,474,444,457
60,Compact Car,454,436,408,451
60,Intermediate Car,456,434,409,370.93
60,Standard Car,495,459,432,415
60,Fullsize Car,491,458,430,415
60,Premium Car,519,533,508,503
60,Intermediate SUV,568,717,501,496
60,Standard SUV,619,754,550,545
60,Fullsize Crossover,913,NA,NA,818
60,Premium Crossover,NA,NA,NA,806
60,Mini Van,NA,592,564,NA
60,Fullsize SUV,883,928,861,806
60,Standard Convertible,756,746,711,700
60,Standard Specialty,564,NA,NA,477
60,Luxury Car,NA,696,663,NA
60,Premium SUV,1150,1462,1122,1053
60,Luxury SUV,1429,NA,NA,1313
60,Fullsize Van,NA,868,826,NA
