days away,car class,Alamo,Avis,Budget,Enterprise
88,Economy Car,323,449,399,338
88,Compact Car,319,413,369,354
88,Intermediate Car,324.89,426,360,338
88,Standard Car,358,462,395,368
88,Fullsize Car,360,462,347,370
88,Premium Car,468,544,496,457
88,Intermediate SUV,395,496,473,407
88,Standard SUV,483,656,531,533
88,Fullsize Crossover,740,NA,NA,798
88,Premium Crossover,NA,NA,NA,745
88,Mini Van,483,608,558,533
88,Standard Van,740,NA,NA,NA
88,Fullsize SUV,765,808,769,745
88,Standard Convertible,522,559,533,511
88,Standard Specialty,416,NA,NA,422
88,Luxury Car,NA,770,733,NA
88,Premium SUV,966,1000,950,929
88,Luxury SUV,1214,NA,NA,1158
88,Fullsize Van,1113,1217,1118,1050
