days away,car class,Alamo,Avis,Budget,Enterprise
45,"Location Hours
											Midnight - Midnight 
											Midnight - Midnight 
											Midnight - Midnight 
											Midnight - Midnight ",,,,
45,Economy Car,425,447,422,430
45,Compact Car,425,414Includes Cash Card,396,430
45,Intermediate Car,427,415Includes Cash Card,391.81,432
45,Standard Car,464,418Includes Cash Card,395,466
45,Fullsize Car,450,418Includes Cash Card,395,453
45,Premium Car,494,738Includes Cash Card,515,495
45,Intermediate SUV,449,738Includes Cash Card,463,453
45,Standard SUV,471,768Includes Cash Card,617,472
45,Fullsize Crossover,721,NA,NA,703
45,Premium Crossover,NA,NA,NA,769
45,Mini Van,NA,981Includes Cash Card,934,NA
45,Fullsize SUV,825,1129Includes Cash Card,827,769
45,Intermediate Convertible,697,NA,NA,NA
45,Standard Convertible,697,753Includes Cash Card,716,682
45,Standard Specialty,537,NA,NA,534
45,Luxury Car,NA,1171Includes Cash Card,1115,NA
45,Premium SUV,1038,1482Includes Cash Card,1076,1003
45,Luxury SUV,1306,NA,NA,1250
45,Fullsize Van,NA,874Includes Cash Card,832,NA
