days away,car class,Alamo,Avis,Budget,Enterprise
107,Economy Car,283,462,501,299
107,Compact Car,283,423,468,299
107,Intermediate Car,282.96,434,410,299
107,Standard Car,312,472,446,326
107,Fullsize Car,312,472,446,326
107,Premium Car,271,1084,490,264
107,Intermediate SUV,262,727,523,283
107,Standard SUV,449,1179,578,453
107,Fullsize Crossover,687,NA,NA,672
107,Premium Crossover,NA,NA,NA,647
107,Mini Van,470,1603,490,472
107,Standard Van,719,NA,NA,NA
107,Fullsize SUV,659,1298,685,647
107,Standard Convertible,418,1120,436,424
107,Standard Specialty,362,NA,NA,372
107,Luxury Car,NA,1120,1066,NA
107,Premium SUV,869,1611,891,840
107,Luxury SUV,1092,NA,NA,1046
107,Fullsize Van,1097,1223,1124,1050
