days away,car class,Alamo,Avis,Budget,Enterprise
108,Economy Car,283,462,501,299
108,Compact Car,283,423,468,299
108,Intermediate Car,282.96,434,410,299
108,Standard Car,312,472,446,326
108,Fullsize Car,312,472,446,326
108,Premium Car,271,1084,490,264
108,Intermediate SUV,262,727,523,283
108,Standard SUV,449,1179,578,453
108,Fullsize Crossover,687,NA,NA,672
108,Premium Crossover,NA,NA,NA,647
108,Mini Van,470,1603,490,472
108,Standard Van,719,NA,NA,NA
108,Fullsize SUV,659,1298,685,647
108,Standard Convertible,418,1120,436,424
108,Standard Specialty,362,NA,NA,372
108,Luxury Car,NA,1120,1066,NA
108,Premium SUV,869,1611,891,840
108,Luxury SUV,1092,NA,NA,1046
108,Fullsize Van,1097,1223,1124,1050
