days away,car class,Alamo,Avis,Budget,Enterprise
99,Economy Car,283,461,435,299
99,Compact Car,283,421,395,299
99,Intermediate Car,282.96,433,408,299
99,Standard Car,312,471,445,326
99,Fullsize Car,312,471,445,326
99,Premium Car,271,1078,484,264
99,Intermediate SUV,265,673,581,283
99,Standard SUV,449,1268,624,453
99,Fullsize Crossover,687,NA,NA,672
99,Premium Crossover,NA,NA,NA,647
99,Mini Van,470,1742,516,472
99,Standard Van,719,NA,NA,NA
99,Fullsize SUV,659,1588,678,647
99,Standard Convertible,418,1113,462,424
99,Standard Specialty,362,NA,NA,372
99,Luxury Car,NA,1134,1079,NA
99,Premium SUV,869,1980,895,840
99,Luxury SUV,1092,NA,NA,1046
99,Fullsize Van,1097,1217,1118,1050
