days away,car class,Alamo,Avis,Budget,Enterprise
52,Economy Car,449,524,477,430
52,Compact Car,451,485Includes Cash Card,425,430
52,Intermediate Car,370.89,478Includes Cash Card,435,371
52,Standard Car,392,503Includes Cash Card,465,415
52,Fullsize Car,392,503Includes Cash Card,444,415
52,Premium Car,503,538Includes Cash Card,508,495
52,Intermediate SUV,471,729Includes Cash Card,457,473
52,Standard SUV,471,766Includes Cash Card,610,472
52,Fullsize Crossover,721,NA,NA,703
52,Premium Crossover,NA,NA,NA,769
52,Mini Van,NA,631Includes Cash Card,594,NA
52,Fullsize SUV,817,969Includes Cash Card,821,769
52,Intermediate Convertible,698,NA,NA,NA
52,Standard Convertible,698,753Includes Cash Card,709,683
52,Standard Specialty,451,NA,NA,477
52,Luxury Car,NA,776Includes Cash Card,733,NA
52,Premium SUV,1066,1469Includes Cash Card,1070,1003
52,Luxury SUV,1333,NA,NA,1250
52,Fullsize Van,NA,874Includes Cash Card,826,NA
