days away,car class,Alamo,Avis,Budget,Enterprise
49,Economy Car,425,461,435,430
49,Compact Car,451,429Includes Cash Card,410,430
49,Intermediate Car,370.89,428Includes Cash Card,404,371
49,Standard Car,392,431Includes Cash Card,407,403
49,Fullsize Car,392,431Includes Cash Card,407,403
49,Premium Car,511,536Includes Cash Card,515,495
49,Intermediate SUV,451,728Includes Cash Card,463,454
49,Standard SUV,471,765Includes Cash Card,617,472
49,Fullsize Crossover,721,NA,NA,703
49,Premium Crossover,NA,NA,NA,769
49,Mini Van,NA,631Includes Cash Card,601,NA
49,Fullsize SUV,823,967Includes Cash Card,827,769
49,Intermediate Convertible,698,NA,NA,NA
49,Standard Convertible,698,753Includes Cash Card,714,683
49,Standard Specialty,451,NA,NA,463
49,Luxury Car,NA,977Includes Cash Card,850,NA
49,Premium SUV,1072,1469Includes Cash Card,1076,1003
49,Luxury SUV,1340,NA,NA,1250
49,Fullsize Van,NA,874Includes Cash Card,832,NA
