days away,car class,Alamo,Avis,Budget,Enterprise
79,Economy Car,269,428,404,291
79,Compact Car,280,388,364,323
79,Intermediate Car,275.78,400,375,318
79,Standard Car,397,401,377,372
79,Fullsize Car,397,401,377,392
79,Premium Car,480,539,485,479
79,Intermediate SUV,421,673,501,426
79,Standard SUV,468,710,514,505
79,Fullsize Crossover,718,NA,NA,751
79,Premium Crossover,NA,NA,NA,738
79,Mini Van,497,592,502,484
79,Standard Van,746,NA,NA,NA
79,Fullsize SUV,747,1078,819,738
79,Standard Convertible,649,559,533,637
79,Standard Specialty,456,NA,NA,426
79,Luxury Car,NA,770,733,NA
79,Premium SUV,923,1418,1010,953
79,Luxury SUV,1161,NA,NA,1187
79,Fullsize Van,1011,1105,1052,1050
