days away,car class,Alamo,Avis,Budget,Enterprise
43,"Location Hours
											Midnight - Midnight 
											Midnight - Midnight 
											Midnight - Midnight 
											Midnight - Midnight ",,,,
43,Economy Car,443,436,411,447
43,Compact Car,444,403Includes Cash Card,385,448
43,Intermediate Car,445,405Includes Cash Card,382.09,449
43,Standard Car,473,408Includes Cash Card,385,475
43,Fullsize Car,459,408Includes Cash Card,385,462
43,Premium Car,494,738Includes Cash Card,515,495
43,Intermediate SUV,451,738Includes Cash Card,465,454
43,Standard SUV,471,768Includes Cash Card,618,472
43,Fullsize Crossover,721,NA,NA,703
43,Premium Crossover,NA,NA,NA,769
43,Mini Van,NA,937Includes Cash Card,892,NA
43,Fullsize SUV,825,1129Includes Cash Card,829,769
43,Standard Convertible,698,753Includes Cash Card,717,683
43,Standard Specialty,548,NA,NA,544
43,Luxury Car,NA,1171Includes Cash Card,1115,NA
43,Premium SUV,1038,1484Includes Cash Card,1078,1003
43,Luxury SUV,1306,NA,NA,1250
43,Fullsize Van,NA,874Includes Cash Card,832,NA
