days away,car class,Alamo,Avis,Budget,Enterprise
103,Economy Car,283,462,501,299
103,Compact Car,283,423,468,299
103,Intermediate Car,282.96,434,410,299
103,Standard Car,312,472,446,326
103,Fullsize Car,312,472,446,326
103,Premium Car,271,1084,490,264
103,Intermediate SUV,265,637,554,283
103,Standard SUV,449,1244,578,453
103,Fullsize Crossover,687,NA,NA,672
103,Premium Crossover,NA,NA,NA,645
103,Mini Van,470,1728,490,472
103,Standard Van,719,NA,NA,NA
103,Fullsize SUV,658,1298,642,645
103,Standard Convertible,418,1120,436,424
103,Standard Specialty,362,NA,NA,372
103,Luxury Car,NA,1130,1075,NA
103,Premium SUV,869,1611,847,840
103,Luxury SUV,1092,NA,NA,1046
103,Fullsize Van,1097,1223,1124,1050
