days away,car class,Alamo,Avis,Budget,Enterprise
55,Economy Car,425,485,458,430
55,Compact Car,451,446Includes Cash Card,419,430
55,Intermediate Car,370.89,443Includes Cash Card,418,371
55,Standard Car,392,446Includes Cash Card,421,419
55,Fullsize Car,392,446Includes Cash Card,421,419
55,Premium Car,503,539Includes Cash Card,508,495
55,Intermediate SUV,471,728Includes Cash Card,687,473
55,Standard SUV,471,765Includes Cash Card,722,472
55,Fullsize Crossover,721,NA,NA,703
55,Premium Crossover,NA,NA,NA,769
55,Mini Van,NA,631Includes Cash Card,594,NA
55,Fullsize SUV,792,971Includes Cash Card,822,769
55,Intermediate Convertible,698,NA,NA,NA
55,Standard Convertible,698,753Includes Cash Card,711,683
55,Standard Specialty,451,NA,NA,481
55,Luxury Car,NA,665Includes Cash Card,627,NA
55,Premium SUV,1038,1469Includes Cash Card,1183,1003
55,Luxury SUV,1306,NA,NA,1250
55,Fullsize Van,NA,874Includes Cash Card,826,NA
