days away,car class,Alamo,Avis,Budget,Enterprise
58,Economy Car,454,490,463,444
58,Compact Car,454,451Includes Cash Card,423,451
58,Intermediate Car,456,447Includes Cash Card,422,370.93
58,Standard Car,495,450Includes Cash Card,425,427
58,Fullsize Car,491,450Includes Cash Card,425,425
58,Premium Car,519,539Includes Cash Card,508,503
58,Intermediate SUV,612,729Includes Cash Card,590,496
58,Standard SUV,664,766Includes Cash Card,644,545
58,Fullsize Crossover,1011,NA,NA,818
58,Premium Crossover,NA,NA,NA,806
58,Mini Van,NA,701Includes Cash Card,662,NA
58,Fullsize SUV,883,953Includes Cash Card,901,806
58,Standard Convertible,756,753Includes Cash Card,711,716
58,Standard Specialty,564,NA,NA,491
58,Luxury Car,NA,702Includes Cash Card,663,NA
58,Premium SUV,1150,1469Includes Cash Card,1177,1053
58,Luxury SUV,1429,NA,NA,1313
58,Fullsize Van,NA,874Includes Cash Card,826,NA
