days away,car class,Alamo,Avis,Budget,Enterprise
68,Economy Car,377,452,411,407
68,Compact Car,369,413,384,369
68,Intermediate Car,370.89,414,371,371
68,Standard Car,392,440,402,392
68,Fullsize Car,392,440,418,392
68,Premium Car,506,577,552,495
68,Intermediate SUV,496,673,501,493
68,Standard SUV,545,710,550,538
68,Fullsize Crossover,818,NA,NA,799
68,Premium Crossover,NA,NA,NA,738
68,Mini Van,497,592,502,567
68,Standard Van,746,NA,NA,NA
68,Fullsize SUV,759,928,861,738
68,Standard Convertible,670,746,711,657
68,Standard Specialty,451,NA,NA,451
68,Luxury Car,NA,730,695,NA
68,Premium SUV,1002,1418,1122,962
68,Luxury SUV,1259,NA,NA,1199
68,Fullsize Van,880,1003,955,963
