days away,car class,Alamo,Avis,Budget,Enterprise
102,Economy Car,283,462,501,299
102,Compact Car,283,423,468,299
102,Intermediate Car,282.96,434,410,299
102,Standard Car,312,472,446,326
102,Fullsize Car,312,472,446,326
102,Premium Car,271,1084,490,264
102,Intermediate SUV,265,637,554,283
102,Standard SUV,449,1244,578,453
102,Fullsize Crossover,687,NA,NA,672
102,Premium Crossover,NA,NA,NA,645
102,Mini Van,470,1728,490,472
102,Standard Van,719,NA,NA,NA
102,Fullsize SUV,658,1298,642,645
102,Standard Convertible,418,1120,436,424
102,Standard Specialty,362,NA,NA,372
102,Luxury Car,NA,1130,1075,NA
102,Premium SUV,869,1611,847,840
102,Luxury SUV,1092,NA,NA,1046
102,Fullsize Van,1097,1223,1124,1050
