days away,car class,Alamo,Avis,Budget,Enterprise
81,Economy Car,271,428,404,301
81,Compact Car,271,388,364,300
81,Intermediate Car,271.22,400,375,301
81,Standard Car,397,401,377,377
81,Fullsize Car,397,401,377,392
81,Premium Car,485,539,485,479
81,Intermediate SUV,421,673,501,426
81,Standard SUV,474,710,514,505
81,Fullsize Crossover,711,NA,NA,751
81,Premium Crossover,NA,NA,NA,738
81,Mini Van,497,592,502,484
81,Standard Van,746,NA,NA,NA
81,Fullsize SUV,764,1078,819,738
81,Standard Convertible,649,559,533,637
81,Standard Specialty,456,NA,NA,432
81,Luxury Car,NA,770,733,NA
81,Premium SUV,946,1418,1010,953
81,Luxury SUV,1183,NA,NA,1187
81,Fullsize Van,1011,1105,1052,1050
