days away,car class,Alamo,Avis,Budget,Enterprise
97,Economy Car,283,489,462,299
97,Compact Car,283,449,422,299
97,Intermediate Car,282.96,445,420,299
97,Standard Car,312,516,487,326
97,Fullsize Car,312,529,474,326
97,Premium Car,271,1078,1003,264
97,Intermediate SUV,265,707,673,283
97,Standard SUV,449,1268,1206,453
97,Fullsize Crossover,687,NA,NA,672
97,Premium Crossover,NA,NA,NA,647
97,Mini Van,470,1742,1657,472
97,Standard Van,719,NA,NA,NA
97,Fullsize SUV,659,1604,1525,647
97,Standard Convertible,418,1146,836,424
97,Standard Specialty,362,NA,NA,372
97,Luxury Car,NA,1134,1079,NA
97,Premium SUV,869,1993,1183,840
97,Luxury SUV,1092,NA,NA,1046
97,Fullsize Van,1097,1217,1118,1050
