days away,car class,Alamo,Avis,Budget,Enterprise
82,Economy Car,284,428,404,327
82,Compact Car,283,388,355,326
82,Intermediate Car,283.53,400,364,327
82,Standard Car,373,401,377,382
82,Fullsize Car,355,401,360,365
82,Premium Car,491,540,490,483
82,Intermediate SUV,300,673,473,315
82,Standard SUV,468,710,479,472
82,Fullsize Crossover,718,NA,NA,703
82,Premium Crossover,NA,NA,NA,684
82,Mini Van,483,592,502,484
82,Standard Van,740,NA,NA,NA
82,Fullsize SUV,701,1078,769,684
82,Standard Convertible,528,559,533,522
82,Standard Specialty,433,NA,NA,437
82,Luxury Car,NA,770,733,NA
82,Premium SUV,945,1418,951,890
82,Luxury SUV,1181,NA,NA,1110
82,Fullsize Van,1062,1105,1052,1050
