days away,car class,Alamo,Avis,Budget,Enterprise
109,Economy Car,283,462,501,299
109,Compact Car,283,423,468,299
109,Intermediate Car,282.96,434,410,299
109,Standard Car,312,472,446,326
109,Fullsize Car,312,472,446,326
109,Premium Car,271,1084,490,264
109,Intermediate SUV,262,727,523,283
109,Standard SUV,449,1179,578,453
109,Fullsize Crossover,687,NA,NA,672
109,Premium Crossover,NA,NA,NA,647
109,Mini Van,470,1603,490,472
109,Standard Van,719,NA,NA,NA
109,Fullsize SUV,659,1298,685,647
109,Standard Convertible,418,1120,436,424
109,Standard Specialty,362,NA,NA,372
109,Luxury Car,NA,1120,1066,NA
109,Premium SUV,869,1611,891,840
109,Luxury SUV,1092,NA,NA,1046
109,Fullsize Van,1097,1223,1124,1050
