days away,car class,Alamo,Avis,Budget,Enterprise
111,Economy Car,283,462,501,299
111,Compact Car,283,423,468,299
111,Intermediate Car,282.96,434,410,299
111,Standard Car,312,472,446,326
111,Fullsize Car,312,472,446,326
111,Premium Car,271,1084,490,264
111,Intermediate SUV,245,727,523,264
111,Standard SUV,409,1179,578,415
111,Fullsize Crossover,626,NA,NA,616
111,Premium Crossover,NA,NA,NA,591
111,Mini Van,476,1603,490,477
111,Standard Van,727,NA,NA,NA
111,Fullsize SUV,598,1298,685,591
111,Standard Convertible,387,1120,436,396
111,Standard Specialty,362,NA,NA,372
111,Luxury Car,NA,1120,1066,NA
111,Premium SUV,788,1611,891,765
111,Luxury SUV,992,NA,NA,953
111,Fullsize Van,1097,1223,1124,1050
