days away,car class,Alamo,Avis,Budget,Enterprise
112,Economy Car,283,462,617,299
112,Compact Car,283,423,447,299
112,Intermediate Car,282.96,443,418,299
112,Standard Car,312,482,456,326
112,Fullsize Car,312,482,456,326
112,Premium Car,271,1084,490,264
112,Intermediate SUV,245,1096,523,264
112,Standard SUV,409,1179,663,415
112,Fullsize Crossover,626,NA,NA,616
112,Premium Crossover,NA,NA,NA,591
112,Mini Van,476,1603,490,477
112,Standard Van,727,NA,NA,NA
112,Fullsize SUV,598,1553,685,591
112,Standard Convertible,387,1120,418,396
112,Standard Specialty,362,NA,NA,372
112,Luxury Car,NA,1120,1066,NA
112,Premium SUV,788,1824,891,765
112,Luxury SUV,992,NA,NA,953
112,Fullsize Van,1097,1223,1124,1050
