days away,car class,Alamo,Avis,Budget,Enterprise
66,Economy Car,399,452,411,406
66,Compact Car,369,413,384,369
66,Intermediate Car,370.89,414,371,371
66,Standard Car,392,440,402,435
66,Fullsize Car,392,440,418,435
66,Premium Car,494,577,552,495
66,Intermediate SUV,496,673,501,493
66,Standard SUV,545,710,550,538
66,Fullsize Crossover,818,NA,NA,799
66,Premium Crossover,NA,NA,NA,738
66,Mini Van,NA,592,502,NA
66,Fullsize SUV,759,928,861,738
66,Standard Convertible,670,746,711,657
66,Standard Specialty,451,NA,NA,500
66,Luxury Car,NA,730,695,NA
66,Premium SUV,1002,1418,1122,962
66,Luxury SUV,1259,NA,NA,1199
66,Fullsize Van,880,1003,955,963
