days away,car class,Alamo,Avis,Budget,Enterprise
62,Economy Car,397,495,425,405
62,Compact Car,394,456,386,402
62,Intermediate Car,370.89,452,387,371
62,Standard Car,392,478,414,437
62,Fullsize Car,392,478,414,428
62,Premium Car,503,577,508,495
62,Intermediate SUV,496,717,501,493
62,Standard SUV,471,754,550,472
62,Fullsize Crossover,721,NA,NA,703
62,Premium Crossover,NA,NA,NA,738
62,Mini Van,NA,592,513,NA
62,Fullsize SUV,759,928,861,738
62,Standard Convertible,670,746,711,657
62,Standard Specialty,451,NA,NA,501
62,Luxury Car,NA,735,700,NA
62,Premium SUV,1002,1462,1122,962
62,Luxury SUV,1259,NA,NA,1199
62,Fullsize Van,873,955,909,917
