days away,car class,Alamo,Avis,Budget,Enterprise
100,Economy Car,283,462,501,299
100,Compact Car,283,423,461,299
100,Intermediate Car,282.96,434,410,299
100,Standard Car,312,472,446,326
100,Fullsize Car,312,472,446,326
100,Premium Car,271,1078,484,264
100,Intermediate SUV,265,630,547,283
100,Standard SUV,449,1237,572,453
100,Fullsize Crossover,687,NA,NA,672
100,Premium Crossover,NA,NA,NA,645
100,Mini Van,470,1722,484,472
100,Standard Van,719,NA,NA,NA
100,Fullsize SUV,658,1291,635,645
100,Standard Convertible,418,1113,429,424
100,Standard Specialty,362,NA,NA,372
100,Luxury Car,NA,1124,1069,NA
100,Premium SUV,869,1604,841,840
100,Luxury SUV,1092,NA,NA,1046
100,Fullsize Van,1097,1217,1118,1050
