days away,car class,Alamo,Avis,Budget,Enterprise
67,Economy Car,400,452,411,407
67,Compact Car,369,413,384,369
67,Intermediate Car,370.89,414,371,371
67,Standard Car,392,440,402,435
67,Fullsize Car,392,440,418,435
67,Premium Car,494,577,552,495
67,Intermediate SUV,496,673,501,493
67,Standard SUV,545,710,550,538
67,Fullsize Crossover,818,NA,NA,799
67,Premium Crossover,NA,NA,NA,738
67,Mini Van,497,592,502,567
67,Standard Van,746,NA,NA,NA
67,Fullsize SUV,759,928,861,738
67,Standard Convertible,670,746,711,657
67,Standard Specialty,451,NA,NA,500
67,Luxury Car,NA,730,695,NA
67,Premium SUV,1002,1418,1122,962
67,Luxury SUV,1259,NA,NA,1199
67,Fullsize Van,880,1003,955,963
