days away,car class,Alamo,Avis,Budget,Enterprise
85,Economy Car,284,431,381,327
85,Compact Car,283,403,355,326
85,Intermediate Car,283.53,405,341,327
85,Standard Car,347,462,375,358
85,Fullsize Car,328,454,366,341
85,Premium Car,449,542,496,453
85,Intermediate SUV,395,673,473,426
85,Standard SUV,471,710,531,472
85,Fullsize Crossover,721,NA,NA,703
85,Premium Crossover,NA,NA,NA,736
85,Mini Van,483,930,558,484
85,Standard Van,740,NA,NA,NA
85,Fullsize SUV,764,1078,769,736
85,Standard Convertible,528,559,533,522
85,Standard Specialty,404,NA,NA,410
85,Luxury Car,NA,770,733,NA
85,Premium SUV,945,1418,950,899
85,Luxury SUV,1181,NA,NA,1120
85,Fullsize Van,1062,1161,1104,1050
