days away,car class,Alamo,Avis,Budget,Enterprise
76,Economy Car,269,426,402,291
76,Compact Car,292,387,363,307
76,Intermediate Car,302.08,398,363,317
76,Standard Car,341,400,375,352
76,Fullsize Car,395,400,375,373
76,Premium Car,506,536,510,495
76,Intermediate SUV,300,673,501,315
76,Standard SUV,468,710,516,507
76,Fullsize Crossover,718,NA,NA,753
76,Premium Crossover,NA,NA,NA,738
76,Mini Van,497,592,502,484
76,Standard Van,746,NA,NA,NA
76,Fullsize SUV,747,1078,861,738
76,Standard Convertible,649,746,533,637
76,Standard Specialty,396,NA,NA,403
76,Luxury Car,NA,770,733,NA
76,Premium SUV,923,1418,1071,945
76,Luxury SUV,1161,NA,NA,1179
76,Fullsize Van,963,1054,1002,1012
