days away,car class,Alamo,Avis,Budget,Enterprise
104,Economy Car,283,462,501,299
104,Compact Car,283,423,468,299
104,Intermediate Car,282.96,434,410,299
104,Standard Car,312,472,446,326
104,Fullsize Car,312,472,446,326
104,Premium Car,271,1084,490,264
104,Intermediate SUV,265,637,554,283
104,Standard SUV,449,1244,578,453
104,Fullsize Crossover,687,NA,NA,672
104,Premium Crossover,NA,NA,NA,645
104,Mini Van,470,1728,490,472
104,Standard Van,719,NA,NA,NA
104,Fullsize SUV,658,1298,642,645
104,Standard Convertible,418,1120,436,424
104,Standard Specialty,362,NA,NA,372
104,Luxury Car,NA,1130,1075,NA
104,Premium SUV,869,1611,847,840
104,Luxury SUV,1092,NA,NA,1046
104,Fullsize Van,1097,1223,1124,1050
