days away,car class,Alamo,Avis,Budget,Enterprise
106,Economy Car,283,462,501,299
106,Compact Car,283,423,468,299
106,Intermediate Car,282.96,434,410,299
106,Standard Car,312,472,446,326
106,Fullsize Car,312,472,446,326
106,Premium Car,271,1084,490,264
106,Intermediate SUV,265,727,523,283
106,Standard SUV,449,1179,578,453
106,Fullsize Crossover,687,NA,NA,672
106,Premium Crossover,NA,NA,NA,647
106,Mini Van,470,1603,490,472
106,Standard Van,719,NA,NA,NA
106,Fullsize SUV,659,1298,685,647
106,Standard Convertible,418,1120,436,424
106,Standard Specialty,362,NA,NA,372
106,Luxury Car,NA,1120,1066,NA
106,Premium SUV,869,1611,891,840
106,Luxury SUV,1092,NA,NA,1046
106,Fullsize Van,1097,1223,1124,1050
