days away,car class,Alamo,Avis,Budget,Enterprise
96,Economy Car,362,489,462,372
96,Compact Car,352,449,422,363
96,Intermediate Car,362.14,445,420,372
96,Standard Car,392,516,487,400
96,Fullsize Car,332,529,474,344
96,Premium Car,392,1078,1003,400
96,Intermediate SUV,286,707,673,304
96,Standard SUV,449,1268,1206,453
96,Fullsize Crossover,687,NA,NA,672
96,Premium Crossover,NA,NA,NA,654
96,Mini Van,470,1742,1657,472
96,Standard Van,719,NA,NA,NA
96,Fullsize SUV,667,1604,1525,654
96,Standard Convertible,423,1146,836,428
96,Standard Specialty,455,NA,NA,458
96,Luxury Car,NA,1134,1079,NA
96,Premium SUV,869,1993,1183,840
96,Luxury SUV,1092,NA,NA,1046
96,Fullsize Van,1097,1217,1118,1050
