days away,car class,Alamo,Avis,Budget,Enterprise
95,Economy Car,362,459,433,372
95,Compact Car,352,419,394,363
95,Intermediate Car,362.14,433,408,372
95,Standard Car,392,469,443,400
95,Fullsize Car,332,469,443,344
95,Premium Car,392,1078,564,400
95,Intermediate SUV,286,671,610,304
95,Standard SUV,449,1268,748,453
95,Fullsize Crossover,687,NA,NA,672
95,Premium Crossover,NA,NA,NA,654
95,Mini Van,470,1742,604,472
95,Standard Van,719,NA,NA,NA
95,Fullsize SUV,667,1207,1525,654
95,Standard Convertible,423,1146,549,428
95,Standard Specialty,455,NA,NA,458
95,Luxury Car,NA,1134,1079,NA
95,Premium SUV,869,1499,1073,840
95,Luxury SUV,1092,NA,NA,1046
95,Fullsize Van,1097,1217,1118,1050
