days away,car class,Alamo,Avis,Budget,Enterprise
101,Economy Car,283,462,501,299
101,Compact Car,283,423,461,299
101,Intermediate Car,282.96,434,410,299
101,Standard Car,312,472,446,326
101,Fullsize Car,312,472,446,326
101,Premium Car,271,1084,484,264
101,Intermediate SUV,265,637,547,283
101,Standard SUV,449,1244,572,453
101,Fullsize Crossover,687,NA,NA,672
101,Premium Crossover,NA,NA,NA,645
101,Mini Van,470,1728,484,472
101,Standard Van,719,NA,NA,NA
101,Fullsize SUV,658,1298,635,645
101,Standard Convertible,418,1120,429,424
101,Standard Specialty,362,NA,NA,372
101,Luxury Car,NA,1130,1069,NA
101,Premium SUV,869,1611,841,840
101,Luxury SUV,1092,NA,NA,1046
101,Fullsize Van,1097,1223,1118,1050
