days away,car class,Alamo,Avis,Budget,Enterprise
80,Economy Car,281,428,404,323
80,Compact Car,269,388,364,291
80,Intermediate Car,275.78,400,375,318
80,Standard Car,397,401,377,372
80,Fullsize Car,397,401,377,392
80,Premium Car,480,539,485,479
80,Intermediate SUV,421,673,501,426
80,Standard SUV,468,710,514,505
80,Fullsize Crossover,718,NA,NA,751
80,Premium Crossover,NA,NA,NA,738
80,Mini Van,497,592,502,484
80,Standard Van,746,NA,NA,NA
80,Fullsize SUV,747,1078,819,738
80,Standard Convertible,649,559,533,637
80,Standard Specialty,456,NA,NA,426
80,Luxury Car,NA,770,733,NA
80,Premium SUV,923,1418,1010,953
80,Luxury SUV,1161,NA,NA,1187
80,Fullsize Van,1011,1105,1052,1050
