days away,car class,Alamo,Avis,Budget,Enterprise
44,"Location Hours
											Midnight - Midnight 
											Midnight - Midnight 
											Midnight - Midnight 
											Midnight - Midnight ",,,,
44,Economy Car,425,438,413,430
44,Compact Car,425,405Includes Cash Card,386,430
44,Intermediate Car,427,406Includes Cash Card,383.48,432
44,Standard Car,464,409Includes Cash Card,386,466
44,Fullsize Car,450,409Includes Cash Card,386,453
44,Premium Car,494,738Includes Cash Card,515,495
44,Intermediate SUV,451,738Includes Cash Card,465,454
44,Standard SUV,471,768Includes Cash Card,618,472
44,Fullsize Crossover,721,NA,NA,703
44,Premium Crossover,NA,NA,NA,769
44,Mini Van,NA,937Includes Cash Card,892,NA
44,Fullsize SUV,825,1084Includes Cash Card,829,769
44,Intermediate Convertible,698,NA,NA,NA
44,Standard Convertible,698,753Includes Cash Card,717,683
44,Standard Specialty,537,NA,NA,534
44,Luxury Car,NA,1283Includes Cash Card,1221,NA
44,Premium SUV,1038,1425Includes Cash Card,1078,1003
44,Luxury SUV,1306,NA,NA,1250
44,Fullsize Van,NA,874Includes Cash Card,832,NA
