days away,car class,Alamo,Avis,Budget,Enterprise
47,Economy Car,425,459,433,430
47,Compact Car,451,428Includes Cash Card,408,430
47,Intermediate Car,370.89,427Includes Cash Card,403,371
47,Standard Car,392,430Includes Cash Card,406,403
47,Fullsize Car,392,430Includes Cash Card,406,403
47,Premium Car,511,536Includes Cash Card,515,495
47,Intermediate SUV,451,728Includes Cash Card,465,454
47,Standard SUV,471,765Includes Cash Card,618,472
47,Fullsize Crossover,721,NA,NA,703
47,Premium Crossover,NA,NA,NA,769
47,Mini Van,NA,631Includes Cash Card,601,NA
47,Fullsize SUV,823,1129Includes Cash Card,829,769
47,Intermediate Convertible,695,NA,NA,NA
47,Standard Convertible,695,753Includes Cash Card,717,680
47,Standard Specialty,451,NA,NA,463
47,Luxury Car,NA,1171Includes Cash Card,1018,NA
47,Premium SUV,1072,1469Includes Cash Card,1078,1003
47,Luxury SUV,1340,NA,NA,1250
47,Fullsize Van,NA,874Includes Cash Card,832,NA
