days away,car class,Alamo,Avis,Budget,Enterprise
93,Economy Car,323,459,433,368
93,Compact Car,319,419,394,363
93,Intermediate Car,328.93,433,408,372
93,Standard Car,392,469,443,400
93,Fullsize Car,332,469,443,344
93,Premium Car,392,1078,564,NA
93,Intermediate SUV,288,671,610,304
93,Standard SUV,486,1268,748,504
93,Fullsize Crossover,744,NA,NA,749
93,Premium Crossover,NA,NA,NA,737
93,Mini Van,470,1742,604,472
93,Standard Van,719,NA,NA,NA
93,Fullsize SUV,758,1207,1525,737
93,Standard Convertible,485,1146,549,486
93,Standard Specialty,455,NA,NA,458
93,Luxury Car,NA,1134,1079,NA
93,Premium SUV,988,1499,1073,949
93,Luxury SUV,1240,NA,NA,1183
93,Fullsize Van,1097,1217,1118,1050
