days away,car class,Alamo,Avis,Budget,Enterprise
91,Economy Car,323,452,427,368
91,Compact Car,319,413,387,363
91,Intermediate Car,328.93,426,402,372
91,Standard Car,392,462,436,400
91,Fullsize Car,332,462,436,344
91,Premium Car,392,1078,473,NA
91,Intermediate SUV,288,673,559,304
91,Standard SUV,483,1309,711,504
91,Fullsize Crossover,740,NA,NA,749
91,Premium Crossover,NA,NA,NA,690
91,Mini Van,470,1784,559,472
91,Standard Van,719,NA,NA,NA
91,Fullsize SUV,706,1629,765,690
91,Standard Convertible,527,1175,527,529
91,Standard Specialty,455,NA,NA,458
91,Luxury Car,NA,1154,1098,NA
91,Premium SUV,1000,2031,1003,961
91,Luxury SUV,1257,NA,NA,1197
91,Fullsize Van,1097,1217,1118,1050
